Feature,Importance
Debt_to_GDP,0.18184578407229496
Government Debt,0.10560563552061572
GDP Growth Rate,0.08730648344259855
Tax Revenue,0.07112321308163476
Imports,0.07004156611717693
Exports,0.06246842589768222
Budget Deficit/Surplus,0.06094714167720793
Tax_to_GDP,0.06044566662188827
Consumer Price Index (CPI),0.046629333203723686
Revenue,0.04322404035804332
Nominal GDP,0.036259161071616884
Capital Expenditure,0.030858633741243712
Real GDP,0.028718873618521688
Interest Rate,0.028506380701794683
Deficit_to_GDP,0.027793784972170162
Population,0.027031227454936493
Inflation Rate ,0.022568293064921478
Expenditure,0.008626355381928696
